experiment,subject_num,fam_duration,age,sex,SubjectInfo.sessionNumber,fam_or_test,test_type,animal,Trials.ordinal,Looks.confidence,Trials.duration,Trials.excludeTrial,Trials.excludeReason,LT,block_num,exclude,is_violation
7,PKBB_49,9,268,M,1,test,pose,1,3,0.6510308049649332,17.02,False,,15.902999999999995,2,FALSE,TRUE
7,PKBB_50,8,294,F,1,test,pose,1,1,0.6343666595037257,30.289,False,,15.846000000000004,1,FALSE,TRUE
7,PKBB_50,9,294,F,1,test,identity,3,5,0.7584846476468146,41.798,False,,18.572,3,FALSE,TRUE
7,PKBB_51,9,322,F,1,test,animacy,1,1,0.74739191052933,46.37600000000001,False,,43.49800000000001,1,FALSE,TRUE
7,PKBB_51,9,322,F,1,test,number,2,3,0.6364682532208306,12.545,False,,10.586,2,FALSE,TRUE
7,PKBB_52,8,266,F,1,test,number,4,1,0.6654140368278852,60,False,,18.190999999999995,1,FALSE,TRUE
7,PKBB_52,8,266,F,1,test,animacy,5,5,0.6958189481120317,34.818000000000005,False,,3.741999999999997,3,FALSE,TRUE
7,PKBB_52,9,266,F,1,test,identity,1,3,0.7173290681333179,58.69300000000001,False,,17.107,2,FALSE,TRUE
7,PKBB_52,9,266,F,1,test,background,3,7,0.7858777209739998,49.846,False,,12.991,4,FALSE,FALSE
7,PKBB_54,8,262,F,1,test,number,1,5,0.6845882398333001,22.119,False,,11.797999999999998,3,FALSE,TRUE
7,PKBB_55,8,206,M,1,test,identity,3,1,0.5942847217887947,24.976,False,,23.737,1,FALSE,TRUE
7,PKBB_55,8,206,M,1,test,background,5,3,0.8488566722437652,28.081,False,,28.081,2,FALSE,FALSE
7,PKBB_55,9,206,M,1,test,number,1,7,0.6776299767409053,11.469,False,,5.534,4,FALSE,TRUE
7,PKBB_56,8,249,F,1,test,background,3,1,0.7998652828782414,25.147,False,,23.709999999999997,1,FALSE,FALSE
7,PKBB_56,8,249,F,1,test,identity,5,5,0.5331848549842835,28.105,False,,20.738000000000003,3,FALSE,TRUE
7,PKBB_56,9,249,F,1,test,animacy,4,3,0.7710759037708286,23.781,False,,22.692,2,FALSE,TRUE
7,PKBB_56,9,249,F,1,test,pose,1,7,0.8822137051886254,18.229,False,,10.945,4,FALSE,TRUE
7,PKBB_57,8,347,M,1,test,animacy,4,1,0.7366185477330727,50.658,False,NA,40.282,1,FALSE,TRUE
7,PKBB_57,8,347,M,1,test,background,2,5,0.5546792545564255,16.039,False,NA,4.307000000000002,3,FALSE,FALSE
7,PKBB_57,9,347,M,1,test,pose,1,3,0.6503854212689457,27.026,False,NA,24.032,2,FALSE,TRUE
7,PKBB_57,9,347,M,1,test,identity,6,7,0.643444863133636,22.473,False,NA,20.126,4,FALSE,TRUE
