SubjectInfo.age_at_birth,sex,SubjectInfo.language_list,subject_num,age,SubjectInfo.sessionNumber,fam_or_test,violation_type,fam_duration,Trials.ordinal,Looks.confidence,Trials.duration,exclude,Trials.excludeReason,LT,is_violation,block_num
37 weeks,f,en yue,PNRB3X,277,1,test,identity,fam9,1,0.8487114139398347,40.41,FALSE,NA,31.397,TRUE,1
37 weeks,f,en yue,PNRB3X,277,1,test,number,fam8,3,0.7641808868114253,40.334,FALSE,NA,34.699000000000005,TRUE,2
37 weeks,f,en yue,PNRB3X,277,1,test,animacy,fam9,5,0.6123779541200918,40.409,FALSE,NA,20.765000000000008,TRUE,3
37 weeks,f,en yue,PNRB3X,277,1,test,background,fam8,7,0.5862158551588551,40.434,FALSE,NA,5.9489999999999945,FALSE,4
40 or more weeks,f,en,PSSYGK,183,1,test,pose,fam8,1,0.9640977746405288,40.255,FALSE,NA,40.255,TRUE,1
40 or more weeks,f,en,PSSYGK,183,1,test,background,fam8,3,0.8522309129317859,40.164,FALSE,NA,38.08600000000001,FALSE,2
40 or more weeks,f,en,PSSYGK,183,1,test,number,fam8,5,0.8071577327535582,40.217,FALSE,NA,38.41,TRUE,3
40 or more weeks,f,en,PSSYGK,183,1,test,animacy,fam9,7,0.8423790567714757,40.289,FALSE,NA,39.555,TRUE,4
39 weeks,m,en es,QWFQWK,181,1,test,animacy,fam8,1,0.7578008799248589,40.13800000000001,FALSE,NA,28.651,TRUE,1
39 weeks,m,en es,QWFQWK,181,1,test,background,fam8,3,0.7206798761543903,40.231,FALSE,NA,3.786000000000002,FALSE,2
39 weeks,m,en es,QWFQWK,181,1,test,pose,fam9,5,0.6963810979694042,40.182,FALSE,NA,3.160000000000004,TRUE,3
39 weeks,m,en es,QWFQWK,181,1,test,identity,fam9,7,0.8061074048622892,40.178,FALSE,NA,2.539999999999992,TRUE,4
39 weeks,f,en,RHNRMG,366,1,test,pose,fam8,1,0.743191095839141,40.181,FALSE,NA,37.691,TRUE,1
