trial_number,fam_duration,trial_type,mean_lt,count.x,sd_lt,ub_lt,lb_lt,param_id,count.y,sd_sample,mean_sample,ub_sample,lb_sample,scaled_samples,scaled_lb,scaled_ub,type
6,5,Familiar,1881.2660098522167,203,1359.2532050442658,2068.251720015449,1694.2802996889843,0,439,251.24502613563268,7.574487471526196,8.749632015117976,6.399342927934416,2009.626838019833,1968.8833966875804,2050.3702793520856,EIG
6,5,Novel,2480.738188976378,508,1807.6893388841593,2637.936549358753,2323.5398285940028,0,40,185.70618417840925,20.39625,23.27379713615424,17.518702863845757,2454.170219686097,2354.402771024548,2553.9376683476453,EIG
6,6,Familiar,2090.691957511382,659,1915.6743654041327,2236.955151105455,1944.428763917309,0,439,251.24502613563268,7.574487471526196,8.749632015117976,6.399342927934416,2009.626838019833,1968.8833966875804,2050.3702793520856,EIG
6,7,Familiar,2037.4368650217707,689,1822.1416495813362,2173.4962788253943,1901.377451218147,0,439,251.24502613563268,7.574487471526196,8.749632015117976,6.399342927934416,2009.626838019833,1968.8833966875804,2050.3702793520856,EIG
6,8,Familiar,1897.8848821081829,721,1544.8548850607729,2010.6503508468118,1785.119413369554,0,439,251.24502613563268,7.574487471526196,8.749632015117976,6.399342927934416,2009.626838019833,1968.8833966875804,2050.3702793520856,EIG
6,9,Familiar,2039.466284074605,697,1881.9958490011547,2179.1862089660062,1899.746359183204,0,439,251.24502613563268,7.574487471526196,8.749632015117976,6.399342927934416,2009.626838019833,1968.8833966875804,2050.3702793520856,EIG
6,10,Familiar,2027.6647887323957,710,2003.32216331116,2175.0241372324535,1880.3054402323378,0,439,251.24502613563268,7.574487471526196,8.749632015117976,6.399342927934416,2009.626838019833,1968.8833966875804,2050.3702793520856,EIG
7,6,Familiar,2114.5513513513515,185,1775.1069253804092,2370.3479265460046,1858.7547761566984,0,360,189.4904663620449,6.657777777777778,7.636506176477362,5.679049379078193,1977.8435924356024,1943.9100960754488,2011.7770887957563,EIG
7,6,Novel,2677.304651162791,430,2074.6244309148933,2873.397308302375,2481.2119940232064,0,40,181.58196641273543,19.5575,22.371141719794547,16.743858280205455,2425.0899149663246,2327.538131259749,2522.6416986728996,EIG
7,7,Familiar,1993.9637155297532,689,1738.4843238640549,2123.7764323764814,1864.150998683025,0,360,189.4904663620449,6.657777777777778,7.636506176477362,5.679049379078193,1977.8435924356024,1943.9100960754488,2011.7770887957563,EIG
7,8,Familiar,1926.7739251040207,721,1555.0848360878153,2040.2861210814947,1813.2617291265467,0,360,189.4904663620449,6.657777777777778,7.636506176477362,5.679049379078193,1977.8435924356024,1943.9100960754488,2011.7770887957563,EIG
7,9,Familiar,1968.562410329986,697,1656.4312505618398,2091.5363531466514,1845.5884675133207,0,360,189.4904663620449,6.657777777777778,7.636506176477362,5.679049379078193,1977.8435924356024,1943.9100960754488,2011.7770887957563,EIG
7,10,Familiar,1897.1741573033698,712,1576.6494653009877,2012.985533498154,1781.3627811085858,0,360,189.4904663620449,6.657777777777778,7.636506176477362,5.679049379078193,1977.8435924356024,1943.9100960754488,2011.7770887957563,EIG
8,7,Familiar,2273.068421052632,190,2214.724541390099,2587.9875118942355,1958.1493302110282,0,280,169.79427180220807,6.383928571428571,7.378349131088157,5.389508011768985,1968.3489654693994,1933.8714061316857,2002.8265248071134,EIG
8,7,Novel,2625.2494529540477,457,2121.0272314574677,2819.7156922773906,2430.7832136307047,0,40,190.9789599874676,20.665,23.62424964377974,17.705750356220257,2463.488052047872,2360.8878954064494,2566.0882086892943,EIG
8,8,Familiar,1866.9094707520874,718,1487.5486987870488,1975.718526537785,1758.1004149663897,0,280,169.79427180220807,6.383928571428571,7.378349131088157,5.389508011768985,1968.3489654693994,1933.8714061316857,2002.8265248071134,EIG
8,9,Familiar,1997.87230989957,697,1729.2312904288583,2126.250949069689,1869.4936707294512,0,280,169.79427180220807,6.383928571428571,7.378349131088157,5.389508011768985,1968.3489654693994,1933.8714061316857,2002.8265248071134,EIG
8,10,Familiar,1892.5589887640444,712,1502.390627326335,2002.9157484383275,1782.2022290897614,0,280,169.79427180220807,6.383928571428571,7.378349131088157,5.389508011768985,1968.3489654693994,1933.8714061316857,2002.8265248071134,EIG
9,8,Familiar,2069.964646464646,198,2146.694470815082,2368.9801551279234,1770.9491378013693,0,200,142.55386793474912,5.9965,6.98434790567012,5.0086520943298805,1954.9164278666703,1920.6667490426155,1989.1661066907254,EIG
9,8,Novel,2768.987525987526,481,2328.6984597647547,2977.099366031234,2560.8756859438186,0,40,208.5007509768124,19.795,23.025752608017292,16.56424739198271,2433.3242784488234,2321.310841411157,2545.3377154864893,EIG
9,9,Familiar,1953.4935437589672,697,1702.888369555688,2079.9164767420757,1827.0706107758588,0,200,142.55386793474912,5.9965,6.98434790567012,5.0086520943298805,1954.9164278666703,1920.6667490426155,1989.1661066907254,EIG
9,10,Familiar,1899.0590717299585,711,1665.9468667105803,2021.5157337336425,1776.6024097262746,0,200,142.55386793474912,5.9965,6.98434790567012,5.0086520943298805,1954.9164278666703,1920.6667490426155,1989.1661066907254,EIG
10,9,Familiar,2368.9305555555557,144,2053.0974336516088,2704.269803051985,2033.5913080591263,0,120,92.03920789247202,5.571666666666666,6.395061855514369,4.748271477818964,1940.1870296092038,1911.639091610413,1968.7349676079948,EIG
10,9,Novel,2739.400394477318,507,2214.9149430576526,2932.201333528754,2546.5994554258823,0,40,160.8777567955836,16.5225,19.015326668030113,14.02967333196989,2319.8634174110225,2233.4346136913314,2406.292221130713,EIG
10,10,Familiar,1935.4424157303376,712,1732.7524990953036,2062.7202006416906,1808.1646308189847,0,120,92.03920789247202,5.571666666666666,6.395061855514369,4.748271477818964,1940.1870296092038,1911.639091610413,1968.7349676079948,EIG
11,10,Familiar,2023.0819672131147,244,1886.1030746140425,2259.7429050604305,1786.421029365799,0,40,53.38770802742006,5.45,6.277251106471242,4.622748893528758,1935.9687241058887,1907.2870975712208,1964.6503506405566,EIG
11,10,Novel,2717.3333333333335,429,2154.2152458714895,2921.186057945903,2513.480608720764,0,40,179.364961666665,17.4125,20.19178887534772,14.633211124652284,2350.7206110928078,2254.3598749981606,2447.0813471874553,EIG
1,1,Familiar,3005.621582733813,695,2291.0095667587675,3175.951357358883,2835.2918081087428,1,839,1877.2997902923175,77.72163289630512,84.073168354267,71.37009743834325,3167.0839492757523,3057.5779335549787,3276.589964996526,EIG
1,2,Familiar,3196.1531914893626,705,2499.4927858920314,3380.6604264268976,3011.6459565518276,1,839,1877.2997902923175,77.72163289630512,84.073168354267,71.37009743834325,3167.0839492757523,3057.5779335549787,3276.589964996526,EIG
